#GeneName      	AdrenalGland	BoneMarrow	Breast	Bronchus	Cerebellum	CerebralCortex	CervixUterine	Colon	Duodenum	Endometrium	Epididymis	Esophagus	FallopianTube	GallBladder	HeartMuscle	HippocampalFormation	Kidney	Liver	Lung	LymphNode	Nasopharynx	OralMucosa	Ovary	Pancreas	ParathyroidGland	Placenta	ProstateGland	Rectum	SalivaSecretingGland	SeminalVesicle	SkeletalMuscleTissue	SmallIntestine	SmoothMuscleTissue	SoftTissue	Spleen	Stomach	TelencephalicVentricle	Testis	ThyroidGland	Tonsil	UrinaryBladder	Vagina	VermiformAppendix
GSS            	           3	         1	     0	       0	         2	             2	            2	    2	       2	          0	         2	        2	            2	          2	          1	                   2	     3	    2	   1	        1	          2	         2	    0	       2	               2	       2	            2	     2	                   2	             0	                   1	             2	                 0	         0	     2	      0	                     1	     2	           2	     2	             2	     2	                2
GSTA1          	           3	         0	     0	       3	         0	             0	            0	    0	       2	          0	         1	        0	            2	          3	          0	                   0	     3	    3	   0	        0	          3	         0	    2	       2	               0	       0	            0	     0	                   0	             0	                   0	             2	                 0	         0	     0	      0	                     0	     3	           0	     0	             0	     0	                0
GSTA2          	           3	         0	     0	       3	         0	             0	            0	    0	       2	          0	         1	        0	            2	          3	          0	                   0	     3	    3	   0	        0	          3	         0	    2	       2	               0	       0	            0	     0	                   0	             0	                   0	             2	                 0	         0	     0	      0	                     0	     3	           0	     0	             0	     0	                0
GSTK1          	           3	         1	     3	       3	         3	             3	            3	    3	       3	          0	         3	        1	            3	          3	          2	                   3	     2	    3	   3	        2	          3	         1	    1	       2	               3	       3	            1	     3	                   1	             0	                   1	             3	                 0	         0	     1	      0	                     3	     3	           2	     3	             3	     1	                3
GSTM1          	           3	         0	     0	       0	         0	             0	            0	    0	       0	          0	         0	        0	            0	          0	          0	                   0	     0	    3	   0	        0	          0	         0	    0	       0	               0	       0	            0	     0	                   0	             2	                   0	             0	                 0	         0	     0	      0	                     0	     1	           0	     0	             0	     0	                0
GSTM3          	           0	         0	     0	       0	         1	             1	            0	    0	       0	          0	         2	        0	            0	          0	          0	                   1	     2	    0	   0	        0	          0	         0	    0	       0	               0	       0	            0	     0	                   0	             2	                   0	             0	                 0	         0	     0	      0	                     1	     3	           0	     0	             0	     0	                0
GSTO1          	           2	         0	     0	       0	         0	             1	            0	    0	       0	          0	         0	        0	            0	          0	          0	                   0	     2	    3	   2	        0	          0	         0	    0	       0	               0	       1	            0	     0	                   0	             1	                   0	             0	                 0	         0	     0	      0	                     2	     1	           2	     1	             0	     0	                0
GSTP1          	           1	         1	     1	       3	         1	             2	            2	    1	       1	          0	         3	        1	            3	          3	          1	                   1	     3	    3	   3	        1	          3	         1	    1	       3	               1	       2	            2	     1	                   1	             3	                   0	             1	                 1	         0	     2	      0	                     1	     2	           3	     2	             3	     1	                1
GSTZ1          	           3	         1	     2	       2	         2	             2	            2	    2	       3	          0	         3	        2	            2	          2	          2	                   2	     2	    3	   2	        2	          2	         1	    2	       3	               3	       2	            2	     2	                   2	             2	                   2	             2	                 0	         0	     2	      0	                     2	     3	           3	     2	             2	     1	                2
GTF2A1         	           3	         3	     3	       0	         3	             3	            2	    2	       1	          0	         2	        1	            1	          2	          1	                   2	     1	    2	   2	        2	          2	         2	    3	       2	               3	       2	            2	     2	                   3	             2	                   0	             2	                 2	         0	     2	      0	                     2	     3	           3	     2	             3	     1	                2
GTF2B          	           3	         1	     2	       3	         1	             2	            2	    3	       3	          0	         3	        3	            3	          3	          2	                   1	     3	    1	   2	        2	          3	         3	    2	       1	               1	       3	            2	     3	                   3	             3	                   2	             3	                 2	         0	     2	      0	                     1	     3	           3	     2	             3	     3	                2
GTF2E1         	           3	         3	     2	       3	         3	             2	            2	    3	       3	          0	         3	        3	            3	          3	          1	                   3	     3	    1	   3	        3	          3	         3	    3	       3	               3	       3	            2	     3	                   3	             2	                   1	             3	                 2	         0	     3	      0	                     2	     3	           3	     3	             3	     3	                3
GTF2E2         	           3	         2	     2	       2	         2	             3	            2	    3	       3	          0	         2	        2	            3	          2	          2	                   3	     3	    2	   2	        3	          2	         2	    2	       3	               3	       3	            2	     3	                   2	             2	                   3	             2	                 2	         0	     2	      0	                     2	     3	           2	     3	             2	     2	                3
GTF2F1         	           3	         3	     2	       3	         3	             3	            3	    2	       2	          0	         2	        3	            1	          3	          2	                   3	     3	    1	   2	        2	          3	         3	    0	       2	               3	       3	            2	     3	                   3	             2	                   2	             3	                 2	         0	     1	      0	                     3	     3	           3	     3	             3	     0	                3
GTF2F2         	           3	         3	     2	       3	         3	             2	            3	    3	       3	          0	         3	        3	            2	          3	          2	                   2	     2	    1	   3	        2	          3	         2	    0	       3	               2	       3	            1	     3	                   1	             1	                   2	             2	                 2	         0	     1	      0	                     2	     3	           3	     2	             3	     2	                2
GTF2H1         	           3	         3	     3	       3	         3	             3	            2	    2	       2	          0	         2	        3	            2	          3	          2	                   3	     2	    1	   3	        2	          3	         3	    2	       2	               2	       3	            2	     2	                   3	             2	                   3	             2	                 2	         0	     2	      0	                     3	     3	           3	     3	             3	     3	                3
GTF3A          	           3	         0	     3	       3	         3	             3	            1	    2	       2	          0	         1	        3	            3	          2	          2	                   2	     1	    1	   2	        2	          3	         2	    1	       3	               2	       3	            1	     2	                   3	             1	                   2	             1	                 2	         0	     1	      0	                     2	     3	           2	     2	             1	     2	                1
GTF3C6         	           3	         2	     2	       2	         2	             2	            2	    3	       3	          0	         2	        2	            2	          2	          2	                   2	     2	    2	   2	        2	          2	         2	    3	       2	               2	       2	            2	     3	                   2	             2	                   2	             2	                 2	         0	     2	      0	                     2	     3	           3	     2	             2	     3	                2
GTPBP3         	           3	         1	     2	       2	         3	             3	            2	    3	       3	          0	         2	        3	            2	          3	          3	                   2	     3	    2	   2	        3	          3	         2	    2	       2	               0	       3	            2	     3	                   3	             2	                   3	             3	                 1	         0	     3	      0	                     2	     3	           3	     2	             3	     2	                3
GTSF1          	           1	         1	     1	       0	         2	             1	            1	    2	       0	          0	         1	        1	            0	          2	          0	                   0	     1	    0	   1	        1	          1	         0	    2	       1	               0	       2	            1	     1	                   1	             1	                   0	             1	                 1	         0	     0	      0	                     0	     3	           1	     1	             2	     2	                1
GTSF1L         	           0	         0	     0	       0	         0	             0	            0	    0	       0	          0	         1	        0	            0	          0	          0	                   0	     0	    0	   0	        0	          0	         0	    0	       0	               0	       1	            0	     0	                   0	             0	                   0	             0	                 0	         0	     0	      0	                     0	     2	           0	     0	             0	     0	                0
GUCA2A         	           0	         0	     0	       0	         0	             0	            0	    1	       2	          0	         0	        0	            0	          0	          0	                   0	     1	    0	   0	        0	          0	         0	    0	       0	               0	       0	            0	     1	                   0	             0	                   0	             2	                 0	         0	     0	      0	                     0	     0	           0	     0	             0	     0	                1
GUCY1A3        	           2	         2	     2	       2	         2	             3	            2	    3	       2	          0	         2	        2	            2	          3	          2	                   1	     3	    2	   2	        2	          2	         2	    2	       2	               2	       1	            3	     3	                   2	             2	                   2	             2	                 2	         0	     2	      0	                     0	     2	           0	     2	             2	     2	                3
GULP1          	           1	         1	     2	       2	         1	             2	            1	    3	       3	          0	         2	        2	            2	          3	          3	                   1	     2	    1	   0	        0	          3	         2	    1	       2	               0	       3	            1	     3	                   2	             0	                   1	             3	                 3	         0	     0	      0	                     2	     2	           2	     2	             2	     2	                3
GYPA           	           0	         1	     0	       0	         0	             0	            0	    0	       0	          0	         0	        0	            0	          0	          0	                   0	     0	    0	   0	        0	          0	         0	    0	       0	               0	       0	            0	     0	                   0	             0	                   0	             0	                 0	         0	     0	      0	                     0	     0	           0	     0	             0	     0	                0
GYPC           	           1	         0	     0	       0	         0	             0	            0	    0	       0	          0	         0	        0	            0	          0	          0	                   0	     0	    1	   0	        0	          0	         0	    0	       0	               0	       0	            0	     0	                   0	             0	                   0	             0	                 0	         0	     0	      0	                     0	     1	           0	     0	             0	     0	                0
GYS1           	           3	         1	     3	       3	         3	             3	            3	    3	       3	          0	         2	        1	            3	          3	          3	                   2	     3	    2	   3	        3	          2	         2	    2	       3	               1	       3	            3	     3	                   2	             3	                   3	             3	                 2	         0	     1	      0	                     2	     2	           2	     3	             2	     2	                3
GZMB           	           0	         2	     0	       0	         0	             0	            0	    0	       0	          0	         0	        0	            0	          0	          0	                   0	     0	    0	   0	        1	          0	         0	    0	       0	               0	       0	            0	     0	                   0	             0	                   0	             0	                 0	         0	     2	      0	                     0	     0	           0	     1	             0	     0	                1
